No,Name,X,Y,h,H,zeta
1,IV-02 ,1205171.47,601926,1.599,1.009,0.59
2,IV-09 ,1203264.68,601743.64,1.202,0.613,0.589
3,IV-10 ,1203041.68,601856.77,0.707,0.119,0.588
4,IV-24 ,1199400.86,602769.31,0.927,0.348,0.579
5,IV-25 ,1199135.39,602765.4,1.447,0.867,0.58
6,IV-27 ,1201327.86,598772.98,2.12,1.518,0.602
7,IV-35 ,1201515.69,604680.78,0.581,0.009,0.572
8,IV-39 ,1203730.84,598020.75,6.026,5.415,0.611
9,IV-40 ,1203413.6,598073.53,8.874,8.265,0.609
10,IV-54 ,1202635.28,595881.6,7.283,6.662,0.621
11,IV-55 ,1202363.78,595883,6.987,6.367,0.62
12,IV-60 ,1200972.22,594157.8,7.741,7.114,0.627
13,IV-61 ,1200841.2,594854.32,7.387,6.764,0.623
14,IV-66 ,1199430.49,595381.71,3.881,3.264,0.617
15,IV-51 ,1203538.28,596201.94,7.249,6.616,0.633
