No,Name,X,Y,h,H,zeta
1,IV-02 ,1205171.47,601926,1.599,1.009,0.59
2,IV-09 ,1203264.68,601743.64,1.202,0.613,0.589
3,IV-15 ,1201696.43,602137.34,0.858,0.273,0.585
4,IV-24 ,1199400.86,602769.31,0.927,0.348,0.579
5,IV-30 ,1201321.45,600728.76,1.942,1.35,0.592
6,IV-27 ,1201327.86,598772.98,2.12,1.518,0.602
7,IV-35 ,1201515.69,604680.78,0.581,0.009,0.572
8,IV-39 ,1203730.84,598020.75,6.026,5.415,0.611
9,IV-40 ,1203413.6,598073.53,8.874,8.265,0.609
10,IV-54 ,1202635.28,595881.6,7.283,6.662,0.621
11,IV-58 ,1201605.3,594532.89,7.826,7.2,0.626
12,IV-60 ,1200972.22,594157.8,7.741,7.114,0.627
13,IV-64 ,1200200.4,595664.07,7.305,6.688,0.617
14,IV-66 ,1199430.49,595381.71,3.881,3.264,0.617
